UniversalMessageId,SocialNetwork,SenderUserId,SenderScreenName,SenderListedName,SenderProfileImgUrl,SenderProfileLink,Sender Followers Count,SenderInfluencerScore,SenderAge,SenderGender,OriginalAuthor,OriginalAuthorProfileLink,Title,Message,MessageType,CreatedTime,Language,LanguageCode,CountryCode,MediaTypeList,Permalink,Domain,Retweets,Tweet Generator,Favorites,ReceiverId,ReceiverScreenName,AssignedBy,AssignedTo,Spam,Status,Intel Location,Intel Product,Star Rating,Priority,Review Source,Experience Score - Message level,Sentiment,Topic Tags,ClientQueues,PartnerQueues,Is incentivized review,Recommended,ClientCustomProps,PartnerCustomProps,Variant,Syndicated text,Is verified review,Is vine review,Is partner review,Is neighbors program review,Is reviewer program review,Was product tried by reviewer,Is sweepstakes entry,Is partner of competition,Is prize draw participant,Is sponsored review,Purchased,Is reviewer seed member,Custom Tags,Action Time,GLOB | Zone,GLOB | Country,GLOB | Brand SF,Data Ingestion import tag,Data Ingestion file Name,Priority,Case Type,GLOB | Universal Inbox Message,GLOB | Case Created on this Message,GLOB | Channel Type,GLOB | Message Privacy,GLOB | For Testing,GLOB | Category,GLOB | Bot Status,GLOB | Team,GLOB | Initiate Handover,GLOB | Language (CF),GLOB | Sourced From Listening,GLOB | Social Channel,GLOB | Issue Type,GLOB | Case Handled By,GLOB | Paid Status,GLOB | Topic Group Matches,GLOB | Topic Matches,GLOB | Theme Matches,Show duplicate reviews,Is review duplicate,GLOB | Status OMNI SF,Intent Name,Proactive Care,Proactive Care Reviewed,Original Google My Business Review,Consumer Contact Number,Product Group,Brand Denomination,Survey Category,GLOB | IG Dark Comment,GLOB | Is message exception?,GLOB | Default Language SF,GLOB | Language OMNI SF,GLOB | Last Sentiment,GLOB | First Sentiment,GLOB | Social Post Tags SF,GLOB | Social Account Name,GLOB | Contact Way Marker SF,GLOB | Contact Way,GLOB | Contact Way Marker OMNI SF,GLOB | Native Messages,GLOB | Engage Instances,GLOB | Case Classification Initial,GLOB | Contact Reason Marker OMNI SF,GLOB | Contact Reason Marker SF,GLOB | Push to Engage Classic,GLOB | Push to Engage Omni,GLOB | Engagement Project (IBS ONLY),GLOB | Nestle Market,GLOB | NBS Center (IBS ONLY),GLOB | Issue Type Sub-Category,GLOB | Positive,GLOB | Negative,GLOB | Neutral,GLOB | IBS Listening Classification,GLOB | IBS Case Classification,GLOB | IBS | Listening Review,GLOB | All Accounts,GLOB | Case Team,GLOB | IBS | NBS MNL | Message Type,Tag Ramadan Campaign,GLOB | IBS | Grade,GLOB | IBS | Type of Mistake,GLOB | IBS | Hide,GLOB | Detractor Flag,GLOB | SBUs,GLOB | Sentiment,Geo Target,Post Id,Associated Cases,Location,Country,State,City,Latitude,Longitude,Sender Email,Message Type,Rating,SubRating,Product,Source Id,Message Title,Moderation Status,Product Code,CampaignName,Category,Trend (Coffee-related),Brand
TWITTER_7_1397757464695566337,TWITTER,721661403061313536,al_preyd,asiong #DefendPressFreedom,https://pbs.twimg.com/profile_images/1393083718693048321/oksbOpcU_normal.jpg,,295,57,0,MALE,,,,@_ai_e u r beer n iced coffee 🍻🧉,Twitter Reply,May 27 03:32:03 2021,English,en,PH,,https://twitter.com/al_preyd/status/1397757464695566337,twitter.com,0,Twitter Web App,0,,,,,false,,,,,,TWITTER,,POSITIVE,"GLOB | Philippines,GLOB | IBS,GLOB | NBS MNL",,,,,,"{GLOB | For Testing=[No], GLOB | IBS | Listening Review=[No]}",,,,,,,,,,,,,,,,May 27 03:32:03 2021,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,"Aganan, Western Visayas, Philippines",Philippines,Western Visayas,Aganan,10.78333,122.53333,,Twitter Reply,,,,,,,,,Consumption Habit,Iced Coffee,
TWITTER_7_1397891410259443714,TWITTER,1067798678016950273,pangcakes_twt,Four🌱 (d dapat active),https://pbs.twimg.com/profile_images/1405575174108286977/YXq7LOiH_normal.jpg,,136,45,0,,,,,@_broccoleigh Iced coffee!!!! 🧊☕️,Twitter Reply,May 27 12:24:18 2021,English,en,PH,,https://twitter.com/pangcakes_twt/status/1397891410259443714,twitter.com,0,Twitter Web App,1,,,,,false,,,,,,TWITTER,,POSITIVE,"GLOB | Philippines,GLOB | IBS,GLOB | NBS MNL",,,,,,"{GLOB | For Testing=[No], GLOB | IBS | Listening Review=[No], GLOB | IBS | Hide=[Unhide]}",,,,,,,,,,,,,,,,May 27 12:24:18 2021,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Unhide,,,,,,,,Philippines,,,13,122,,Twitter Reply,,,,,,,,,Consumption Habit,Iced Coffee,
TWITTER_7_1345288105167753217,TWITTER,1269067607719596033,themaskedalter,#TeamSonique,https://pbs.twimg.com/profile_images/1343245614159556608/GP76VOAS_normal.jpg,,370,62,0,,,,,@_DeepBlow_4u_ Masarap iced Coffee nila dyan,Twitter Reply,Jan 02 08:37:33 2021,Filipino,tl,PH,,https://twitter.com/themaskedalter/status/1345288105167753217,twitter.com,0,Twitter for Android,0,,,,,false,,,,,,TWITTER,,POSITIVE,"GLOB | Philippines,GLOB | IBS,GLOB | NBS MNL",,,,,,,,,,,,,,,,,,,,,,Jan 02 08:37:33 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taguig, Calabarzon, Philippines",Philippines,Calabarzon,Taguig,14.5243,121.0792,,Twitter Reply,,,,,,,,,Consumption Habit,Iced Coffee,Tim Hortons
TWITTER_7_1313373542428278784,TWITTER,1041567143899197441,rtmchua,yorts,https://pbs.twimg.com/profile_images/1389194624451768322/RD5rMMZD_normal.jpg,,148,50,0,OTHER,,,,@_lantoms Iced Coffee,Twitter Reply,Oct 06 07:00:28 2020,English,en,PH,,https://twitter.com/rtmchua/status/1313373542428278784,twitter.com,0,Twitter for iPhone,1,,,,,false,,,,,,TWITTER,,POSITIVE,"GLOB | Philippines,GLOB | IBS,GLOB | NBS MNL",,,,,,,,,,,,,,,,,,,,,,Oct 06 07:00:28 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bacoor, Calabarzon, Philippines",Philippines,Calabarzon,Bacoor,14.45903,120.92903,,Twitter Reply,,,,,,,,,Consumption Habit,Iced Coffee,
TWITTER_7_1323277561225342983,TWITTER,1226667643827916800,kreshia23,KC 💙,https://pbs.twimg.com/profile_images/1393441878704492549/TT4JI4az_normal.jpg,,126,51,0,,,,,"@bIairwaIdorf_ @_harperj_ sure ako may panlaban na nman si mira na iced coffee sa sikat and di natin alam na shop. 😂 pero for me, masarao pa iced coffee sa belgian. hahaha",Twitter Reply,Nov 02 14:55:31 2020,Filipino,tl,PH,,https://twitter.com/kreshia23/status/1323277561225342983,twitter.com,0,Twitter for Android,1,,,,,false,,,,,,TWITTER,,POSITIVE,"GLOB | Philippines,GLOB | IBS,GLOB | NBS MNL",,,,,,,,,,,,,,,,,,,,,,Nov 02 14:55:31 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cebu City, Central Visayas, Philippines",Philippines,Central Visayas,Cebu City,10.31672,123.89071,,Twitter Reply,,,,,,,,,Consumption Habit,Iced Coffee,
TWITTER_7_1253915563937501186,TWITTER,1193002610703290368,70sstrange,ali | SAMBUCKY ERA LET'S GO,https://pbs.twimg.com/profile_images/1371669753262084098/dYZUOJp3_normal.jpg,,830,54,0,,,,,@buckysrogers_ aaaa mari i hope u're taking care of urself!!! i love iced coffee too tho nkldsfnjdkg,Twitter Reply,Apr 25 05:15:42 2020,English,en,PH,,https://www.twitter.com/bucky_is_alive/status/1253915563937501186,twitter.com,0,,1,,,,,false,,,,,,TWITTER,,POSITIVE,"GLOB | Philippines,GLOB | IBS,GLOB | NBS MNL",,,,,,,,,,,,,,,,,,,,,,Apr 25 05:15:42 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,,,13,122,,Twitter Reply,,,,,,,,,Consumption Habit,Iced Coffee,
TWITTER_7_1309160434029621248,TWITTER,1053509085356744704,RoaEvie,𝓪𝓽𝓪𝓻𝓪𝔁𝓲𝓪 🌻,https://pbs.twimg.com/profile_images/1367360373221859328/9sFl6VYB_normal.jpg,,101,55,0,,,,,@chanaswswsws Nakooo mukhang malapit na HAHAHHAAHHA ayoko kasi magpalpitate kaya di ako umiinom :))))) pero natry ko na yung Iced Coffee,Twitter Reply,Sep 24 15:59:05 2020,Filipino,tl,PH,,https://twitter.com/RoaEvie/status/1309160434029621248,twitter.com,0,Twitter Web App,0,,,,,false,,,,,,TWITTER,,POSITIVE,"GLOB | Philippines,GLOB | IBS,GLOB | NBS MNL",,,,,,,,,,,,,,,,,,,,,,Sep 24 15:59:05 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quezon City, National Capital Region, Philippines",Philippines,National Capital Region,Quezon City,14.6488,121.0509,,Twitter Reply,,,,,,,,,Consumption Habit,Iced Coffee,
TWITTER_7_1260069964548935682,TWITTER,1107334410515275776,yanyayrah,rhieka,https://pbs.twimg.com/profile_images/1398886304394346497/6k-JiZ6__normal.jpg,,239,55,0,OTHER,,,,@chawiwiii Gimingaw ko sa imong ice coffee :((,Twitter Reply,May 12 04:51:05 2020,Filipino,tl,PH,,https://www.twitter.com/yanyayrah/status/1260069964548935682,twitter.com,0,,0,,,,,false,,,,,,TWITTER,,POSITIVE,"GLOB | Philippines,GLOB | IBS,GLOB | NBS MNL",,,,,,,,,,,,,,,,,,,,,,May 12 04:51:05 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cagayan de Oro, Northern Mindanao, Philippines",Philippines,Northern Mindanao,Cagayan de Oro,8.48222,124.64722,,Twitter Reply,,,,,,,,,Consumption Habit,Iced Coffee,
TWITTER_7_1276210022888796160,TWITTER,1160400474769465345,arawgurl,高希仁 𝔡𝔢𝔪𝔬𝔫𝔧𝔦,https://pbs.twimg.com/profile_images/1287427863210147840/BXBBRpjy_normal.jpg,,114,41,0,OTHER,,,,@CoffeeManiaaac SIGE BA! PARA SA ICED COFFEE! HAHAHAHAHAHAH,Twitter Reply,Jun 25 17:45:55 2020,Filipino,tl,PH,,https://www.twitter.com/arawgurl/status/1276210022888796160,twitter.com,0,,0,,,,,false,,,,,,TWITTER,,POSITIVE,"GLOB | Philippines,GLOB | IBS,GLOB | NBS MNL",,,,,,,,,,,,,,,,,,,,,,Jun 25 17:45:55 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,Calabarzon,,14.60833,120.94167,,Twitter Reply,,,,,,,,,Interest/Craving,Iced Coffee,
TWITTER_7_1224700608076075008,TWITTER,175483759,janndocs,𝖏 𝖆 𝖓 𝖓 ♑,https://pbs.twimg.com/profile_images/1372456622732181504/1J9efRIU_normal.jpg,,551,59,0,OTHER,,,,@cogitoergeonzon @kapekamuna ucc iced coffee toms. hahahahaha. dabest and cheapest.,Twitter Reply,Feb 04 14:25:53 2020,English,en,PH,,https://twitter.com/show/status/1224700608076075008,twitter.com,0,Twitter for iPhone,0,,,,,false,,,,,,TWITTER,,POSITIVE,"GLOB | Philippines,GLOB | IBS,GLOB | NBS MNL",,,,,,,,,,,,,,,,,,,,,,Feb 04 14:25:53 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cagayan de Oro, Northern Mindanao, Philippines",Philippines,Northern Mindanao,Cagayan de Oro,8.48222,124.64722,,Twitter Reply,,,,,,,,,Consumption Habit,Iced Coffee,UCC
